is_offensive,title
1,"boto cú piru sai boca ( ( dj jorginho 00 ) ) beat vem moda"
1,"mc gw - caralho , xereca ( dj proibido ) part . mc 0belo"
1,"mc magrinho mc neguinho itr - pose rã - taca xereca ( áudio oficial ) lançamento 0000"
1,"pegadinha - pau bosta nutella !"
1,"mc novin - piroca revela ( vídeoclipe oficial ) lançamento 0000"
1,"mc denny mc luke - vai mamar escadão ( lyric vídeo ) dj piolho beat"
1,"mc bolôlô - porção buceta ( dj lincoln reis )"
1,"papo merda"
1,"mc lduk mc lara mc bocarra - taca piru [ dj triiick ]"
1,"conde loupeteta - tipo idiota vingará youtube"
1,"nico nico nii caralho"
1,"mc gw mc denny - xereca mandela ( dj guina vds mix ) lançamento 0000"
1,"motoqueiro babaca"
1,"ytpbr - incrível mundo gumball : bosta"
1,"mc pp vs - xereca pisca ( dj tavares ) lnçamento oficial 0000"
1,"louco refri - tacando pau puta ( lyric video )"
1,"alcemar detona veloster bosta ! ! !"
1,"clara crocodilo - bixa lá ( áudio )"
1,"dynho alves - feia pra caralho ( lyric video ) dj nene mpc"
1,"oriente - vagabundo foda ( feat . pedro qualy self provoked - prod . bruno silva )"
1,"ai delicia ser viado csgo"
1,"classe merda brasileira @ canaldootario"
1,"mc neguinho itr - cú perigo , pau ação ( prod . rf0 nvi ) lançamento 0000"
1,"nando moura chama otário covarde merda , rebate chamando nando arrombado picareta !"
1,"manga buceta"
1,"naiara azevedo nome rapariga clipe oficial low"
1,"botafogo-sp 0x0 corinthians - narração mil grau jogo bosta"
1,"mc denny - buceta apanha ( lançamento 0000 ) dj bruninho beat"
1,"la fúria - música nova : [ xereca luxo ]"
1,"mc fp - xota bate piru rebate [ dj scooby du ja ]"
1,"lucas a.r.t . - tomei lean ( achei bosta )"
1,"mc gw - vai caindo xereca ( dj vt mix ) lançamento musica nova 0000"
1,"to copo mão bundão chão - mc rafa original , mc saci ( acke beats )"
1,"valesca popozuda - sentei pica ex - dj jr md"
1,"mc 0belo - roça esfrega - á buceta piroca ( lançamento 0000 )"
1,"matheus yurley - tapa bunda , bunda puta tchaca tchaca butchaca ( gr0 filmes )"
1,"mc gw , mc t0 mc fahah - bate xereca ak ( dj ferrujo serra dj rangel taquaril )"
1,"mc gw - xereca mec ( dj carlinhos sr )"
1,"mega trepada puta [ dj jean du pcb ]"
1,"mc gw - cacete , caralho ( dj caaio doog ) lançamento 0000"
1,"whindersson nunes ídolo geração retardado"
1,"lil bosta - fimose ( clipe official )"
1,"mc pedrin - passa passa jogando xereca ( dj jean du pcb )"
1,"vou dar coça xereca ( ( mc rebecca ) ) lançamento 0000"
1,"'porra burro- caveiragames 0000"
1,"dynho alves - feia pra caralho ( video clipe ) dj nene mpc"
1,"mc 0 belo ngdp mc joão - gosta fofoca piroca ? ( lyric video ) dj th"
1,"uso dogras , diz blogueirinha merda após causar live ter foto vazada"
1,"taxista diz jesus cristo vagabundo"
1,"mc gw - segredinho xereca ( dj miltinho dj bruno prado )"
1,"mc 0d - piranha vem mamar ( vinhetas )"
1,"mc james blue - faz quadradinho piroca ( dj r0 ) lançamento 0000"
1,"nsc - merda paga cachê"
1,"mc moises torre , mc rafa 00 - vou bota pra mamar ( dj guih zo , dj páápùùh ) 0000"
1,"feliz natal , feliz ano novo caralho ! - curtinhas bispo arnaldo"
1,"clima tropical - r.a.v ( bass boosted ) 0000"
1,"mc ramon - peida xereca ( dj everton martins )"
1,"mc mr bim , mc gw mc bruninho ds - puta morrão ( dj ts dj guilherme )"
1,"mc denny - vai dar buceta ( dj bruninho beat )"
1,"mc gw mc up - joga xereca ( lyric video )"
1,"quero vai tomar cu , tomar conta vida [ lançamento ] 0k00"
1,"viado"
1,"00 . zarastruta - crônicas babaca , vol.0 ( part . dj cost ) [ tudozaras ]"
1,"mtg bundão arrasta ( ( dj rd h ) )"
1,"caracol raivoso vs . mussoumano batalha youtubers"
1,"mc denny mc jhowjhow - piru machuca ( kondzilla )"
1,"canal otario"
1,"zé paredão - piroca bonde - música nova - lançamento oficial 0000"
1,"mete força talento , soca buceta ( vinhetas )"
1,"quer putaria - mc 0belo - pica xereca ( dj kaiomix ) 0000"
1,"meter cacete - dorgas"
1,"ytpbr monte bosta sentido - reaction ! ! !"
1,"lap . mente louco"
1,"mc lan - xereca - tchau pra ( áudio oficial ) prod . lan rw lançamento 0000"
1,"mijão"
1,"baco exu blues - en mira ( interlúdio esú )"
1,"mc lan - enéias 00 000 - pau tabela ( dj felipe original )"
1,"chama viado"
1,"pau consignado !"
1,"mc denny mc gw - agride xereca ponta piru ( dj guina ) lançamento 0000"
1,"blogueirinha merda nega treta karol pinheiro : indireta pra"
1,"sarra piroca vs toma tapa cara ( djs alexandre , yang lucian )"
1,"mc brisola - chacoalha chacoalha joga buceta pica doidona bala ( dj r0 )"
1,"merda"
1,"joga xereca faixa preta vai passar ( lançamento 0k00 )"
1,"madame - surra piroca - música nova - lançamento 0000"
1,"mc digão - desce pau ( lyric video ) dj robson mv"
1,"quero ficar desmaiada overdose piroca bota tudo mim [ dj 's mk omlk sinistro jl ]"
1,"mc neguinho itr - bota pra mamar ( dj limah ) feat mc fabinho osk"
1,"nando moura chama matheus yurley zé bosta esculacha : logo , ninguém vai saber ."
1,"cafetão - piroca consola - música nova - lançamento oficial 0000"
1,"mc diguinho - surubinha leve ( fezinho patatyy ) brota convoca puta"
1,"daft punk ft . jorge jesus - get lucky - paródia vou sujar piroca"
1,"mc denny - bota xereca peça ( áudio oficial ) lançamento 0000"
1,"mussa feat . mv bill - perguntei nada ! prod . wzy ( official music video )"
1,"melody - dj méury musa produções - loop caralho 0000 ( exclusiva )"
1,"mc kitinho mc rahell - vai bundão megatron ( ( dj paulinho ) )"
1,"mc magrinho mc kitinho - trava xereca - sempre brotar vai tomar ( dj th )"
1,"mc lan mc souza - ta ta ta primeiramente 0 terceiramente ( vídeo clipe oficial )"
1,"mc mãozinha - nasci pobre nasci otario ( dj nene mpc ) exlusiva"
1,"mc denny - pra tacar piroca buceta piranha ( dj cristian v d s mix )"
1,"bolsonaro chama repórter rede tv idiota ignorante"
1,"mc lg , mc th gw - vem buceta molhada ( ( djjaobixosolto ) ) lançamento 0000 mdk explode"
1,"mc denny - desce xereca cima piroca ( dj guina ) part mc mr bim"
1,"mc kitinho - sequencia pica ( dj dn dj ds )"
1,"rosicleide : bom dia cacete ."
1,"mc denny , mc gw mc kitinho - bate bundão chão - senta gostosa ( prod . kr ) megatrom"
1,"pegadinha : ei viado"
1,"clique aqui"
1,"casos divas : havana cacete , culpada desse amor acabar !"
1,"mc w.o - bundão ( mc w.o oficial )"
1,"[ macaco z ] - paródia naruto"
1,"thecypherdeffect - costa gold apresenta damassaclan ! [ haikaiss , doncesão , família madá dj eb ]"
1,"denunciem merda ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !"
1,"mc magrinho - briga xereca piru ( dj biel bronks ) ( música nova lançamento funk 0000 )"
1,"mc brinquedo - acaba piroca danada ( dj japah ) ( lançamento funk 0000 )"
1,"mc camily - buceta dono vs gaiola ( lançamento 0000 )"
1,"jesus travesti : cantor johnny hooker chama jesus bicha denunciado"
1,"pegadinha negociando garotas programa # 0 - ( puta pegadinha ) ft . turma sacanas"
1,"baco exu blues - tardes nunca acabam [ prod . portugal ] # 00"
1,"xxxbientb0y - prometo ( shittclipe official )"
1,"gxlherm - desabafo"
1,"mr galiza - bundão ( vídeo oficial ) - pagofunk - -"
1,"farinha"
1,"inferno"
1,"caixa 0 , prisão facebook , golpe pf cacete correios # otarionews"
1,"após chamar gay baitola , jojo todynho lança música arrasou viado"
1,"brasileiros dão vexame rússia"
1,"rola"
1,"pendências"
1,"drunk mc - sentimentos ( prod . plata music )"
1,"após beijar amigo boca , chico pinheiro atacado dá resposta todos"
1,"bem dotado"
1,"saco otário 0 # nsdo @ canaldootario"
1,"malibu - miley cyrus / paródia comer cagar"
1,"filipe ret - coração vagabundo ( prod . nave )"
1,"hmdc - vagabundo nato ( clipe oficial )"
1,"fiitu - cocaína"
1,"vossa excelência filho puta !"
1,"aventuras super otário - especial ( vídeo ) @ canaldootario"
1,"mc th - vai devagar piroca ( dj dn caxias ) ( lançamento funk 0000 )"
1,"culpa moro , brasil arrombado bancos felizes # otarionews @ canaldootario"
1,"terra santa - apóstolo arnaldo"
1,"destruição museu nacional"
1,"mc denny mc kalzin - muita xereca junta ( dj carlinhos s.r ) ( lançamento funk 0000 )"
1,"brasil inferno ? bispo arnaldo"
1,"posicao"
1,"jojo todynho defende clipe polêmico nego borel"
1,"henry lee - lil bitch ( webclipe ) ( prod . parisvvs )"
1,"ô arrombado ! ! ataque animado shinnonda"
1,"kle 000 full b-king monstro retorno 000 cavalos roda"
1,"lw - louco feito xxxtentacion"
1,"bozonaro paródia palhaço bozo"
1,"mc linn quebrada - bixa preta ( áudio oficial )"
1,"porra !"
1,"mc rafa original mc r0 - apoia bundão ( dj nene )"
0,"vixe ! roubaram croacia cara pau"
0,"mc rei - louco 0.0 ( lamv )"
0,"vai dar merda song remix ( oficial )"
0,"dicas rápidas # 000 - inferno : nomes posições"
0,"causa coceira anal ?"
0,"tutoriais atados eduardo bacha : brahma bugger articulada"
0,"moradores reclamam falta coleta lixo loteamento pau ferro ii - bgm"
0,"trolando jair bolsonaro asno vivo cores"
0,"filipe ret - santo forte ( prod . rick beatz/dallass/mãolee )"
0,"engenharia civil fag"
0,"red dead redemption 0 falando merda - gameplay estendida"
0,"bolsonaro : cristão ataca jair bolsonaro mando deus ! ! !"
0,"tá sabendo hoje abre temporada caras pau ?"
0,"vai dar merda capitao"
0,"mc ferreira - louco selvagem ( djay w ) lançamento oficial 0000"
0,"asno cavalo"
0,"novela apocalipse : inferno sofrimento eterno"
0,"catanduva realiza quinto festival corais"
0,"whindersson nunes pronunciou apos ser chamado corno"
0,"louco"
0,"passar enem reginaldo pariu s00e00"
0,"cada quanto tempo cadela entra cio ? quanto dura gestação ? - dica veterinário"
0,"anitta dança chão show léo santana preocupa fãs"
0,"engenharia mecânica fag"
0,"matheus yurley chama nando moura bosta , matheus hwang assume plagiou atacado"
0,"mendiga sexy desfila bumbum deixa mulherada furiosa"
0,"arte cagar saulo botelho"
0,"solidworks chapa metálica # 00 - flange contínuo"
0,"filho acorda madrugada mamar ? ? ? ? ? dicas ."
0,"ladrão cara pau nega celular roubado chama policial louco"
0,"cruzeiro 0000 número silk vagabundo futebol - vestiário - iuri godinho"
0,"alcemar revela precisa dormir"
0,"dantes inferno , fifa 00 burnout paradise remastered ea access + 0 jogos retro hoje ! ! !"
0,"mtg - cai boca bucetão vs piru ta vindo ai kkk [ 0000 ] grave ]"
0,"peidar avião glória kalinho"
0,"atirei pau gato - dvd galinha pintadinha 0 - crianças bebês"
0,"mc tcheros - bundão pararara ( kaique silver prod . ) 0000"
0,"piada prefeito corno - piadas engraçadas ! !"
0,"desafio : desafina corno vitor kley the noite ( 00/00/00 )"
0,"cadela castrada entra cio ? sangra outras ? - dica veterinário"
0,"fico desgraçado cabeça"
0,"naiara azevedo - mordida , beijo tapa ( vídeo oficial )"
0,"mc n00 - cê conta ( viado banca )"
0,"pau pedra"
0,"tartarugas ninja falco louco nickelodeon português"
0,"montagem - vai quatro rebolando joga bunda piroca vs vai quatro amiga [ lançamento 0000 ]"
0,"nando moura chamado arrombado após criticar lei rouanet treta magal twitter"
0,"mc pikachu - vem sentando piroca , vem quicando piroca ( dj sadall )"
0,"pabllo vittar - pode apontar ( feat . blogueirinha merda ) [ lip sync oficial ]"
0,"00 - égua baldosa - baitaca"
0,"inferno real . arrependa-se pecados . impactante ."
0,"corno ! ?"
0,"mc fb - vou comer xereca , vendo jogo flamengo [ dj vtn ] brabaaa"
0,"mc gw mc 0belo - flexiona xereca garota ( dj wallace nk ) lyric video"
0,"compare : jair bolsonaro ciro gomes ( humilhante )"
0,"corno passa chave - marcos magno"
0,"munhoz mariano cantam mulherão porra the noite ( 00/00/00 )"
0,"gusantos - falho , porra"
0,"mc cigano - desce bundão ( dj pg )"
0,"mc neguinho v.u - munição piroca ( ( fezinho patatyy ) ) - ( dj jorgin ) ( dj bugai mpc )"
0,"animação 0d , pica pau vai roça chico bento"
0,"fotógrafo carro arrombado equipamento trabalho furtado zona sul capital"
0,"malu quer construir cocheira égua princesa"
0,"compasso tético , anacrúsico acéfalo ( parte 0 ) rítmico"
0,"égua sênior maior , égua graduada égua graduada maior"
0,"alex matielo - bobo corte - dvd primeiro passo - lançamento 0000"
0,"lil bosta - menor"
0,"newlife rj hornet - motoqueiro babaca ! ! ! gopro camera rede globo ."
0,"mc kevin mc davi - vai mamar pra mim ( pereradj ) ( áudio oficial )"
0,"usar reação avião facebook # addplanereact"
0,"eta porra ! ! dar graças deus setimo ! !"
0,"time seth torce ? ag responde"
0,"americanos tomam banho antes EMAIL ag responde"
0,"líder , porra ! - paródia solta - nego borel ft . dj rennan penha"
0,"preta vagabundo - mayck"
0,"fortnite - compilado aleatório d + retardado games"
0,"amanda ramalho pânico diz : deus bosta ! ! ! vc acha ?"
0,"maycon emerson - amar cacete ( clipe oficial )"
0,"dando mamar pros gatos orfãos"
0,"imitando fotos tumblr casal l mundo babaca"
0,"mc bobo mc alexandre - reflexão forma música ( coelho produções )"
0,"casal preso assaltar taxistas - tribuna massa ( 00/00 )"
0,"carmenrubia - louco demais ( áudio oficial )"
0,"voce vai sentir retardado jogando"
0,"peidar amor ! - nunca pedi nada"
0,"pesquisas realizadas nacional"
0,"banda beijo bhom- rapariga - rapariga - oficial"
0,"marcelo brigadeiro chama bruno gagliasso babaca papelão fez bolsonaro ufc"
0,"lulu santos assume namoro homem 00 anos novo"
0,"pereguetes 0000 funk 00"
0,"chifre corno aceita ?"
0,"josé nêumanne pinto / governo adia agora efeitos perversos pane seca maio"
0,"mc cabelinho - joga xereca , md virou lago ta cheio perereca [ lançamento 0000 ] sarradeira"
0,"mc rike mc luizinho - desce xereca - música nova"
0,"retardado ?"
0,"piadas bosta"
0,"furtaram passaporte lula - carro arrombado cartas ex-presidente"
0,"mariah britney ? bicha bichérrima - ferdinando show - humor multishow"
0,"merda rinite"
0,"mulher branco - gincana luiz alves 0000 - equipe cabaré 000 rapariga"
0,"viado - vai cola - humor multishow"
0,"deputado chama jean wyllys viado dia orgulho lgbt"
0,"bela bosta agência puta ideia"
0,"dj cr0 feat mc lk part . dj esculaxa - bate bundão chão ( lyric video )"
0,"treta ! ! edu dracena chama ricardo oliveira otário !"
0,"merda hein meme"
0,"bye bye babaca ( feat . rafael almeida )"
0,"contar piada foda ! ! kkkkkkk"
0,"pastor everaldo peidando bonner entrevista jornal nacional ( completo )"
0,"homem condenado morte peidar mesquita durante evento ?"
0,"ah vagabundo ! lançamento cavaleiros forró"
0,"caminhoneiro louco joga margarina asfalto perseguido polícia"
0,"suspeito otario"
0,"peixão tcp decidiu ficar pica pau cv tenta buscar reforços"
0,"boner proíbe bolssonaro mostrar kit gay"
0,"soltando peido vivo inscritos"
0,"intervenção federal rola antares santa cruz ."
0,"égua comportamento garanhão ! ! !"
0,"lyric - pára beber vagabundo - william fernando - artebits"
0,"colocando identidade likes ? karnal+coen inferno"
0,"puns revelam sobre saúde nenhum médico contou"
0,"egua preta compadre moreira"
0,"radio mania - bom gosto - sorte / medo bobo"
0,"capim pro burro ! ! !"
0,"neymar jr - decolou caiu ( mc kevin mc ph ) status whatsapp"
0,"cagar mae casa !"
0,"simone simaria programa hora faro amanhã 00.00.0000"
0,"mc wostin mc lucca martins - joga bundao pro ar ( prod . dj brenin original )"
0,"solta , bixa ! ( desencuba poc ) paródia-resposta"
0,"aves brasil - pica pau campo"
0,"incapacidade aprendida : burro sala"
0,"resgate cadela estado calamitoso filhotes ."
0,"mc jan - pega pau finge lança , balança chupa ( fezinho patatyy )"
0,"mc reizin - olha pro ex fala q otario [ iasmin turbininha ] 0k00"
0,"cadela cai poço implora ajuda"
0,"leandro karnal comenta atentado jair bolsonaro"
0,"acéfalo"
0,"dança piru capa revista ( anime dame cosita )"
0,"rei serpentes vs garoto desgraçado primeiro vídeo canal"
0,"pau - paródia - mc mm feat dj rd - quer vrau"
0,"paródia taquitá ( claudia leitte ) peidar - taxa zuera"
0,"letras fag"
0,"psirico solta porra"
0,"bafo bosta - uatafuke ? !"
0,"nego borel mc denny - tentei , namorar caralho - ( rennan penha ) web clipe"
0,"perimetrurbano - sinto"
0,"volta depressa ( composição : tony pinto ) [ piano voz ]"
0,"pregação pra corno - bispo arnaldo"
0,"nandinho negobam - dose piru ( + 00 )"
0,"piada corno confessando"
0,"babados vida - cagar ! ! ! ! !"
0,"ta foda - dani"
0,"cadela ameaçada traficantes colômbia"
0,"saiba diferença jumento , burro , jegue cavalo"
0,"piriguete brasil - dr zeh"
0,"baby biruleibe - remix ( compilação )"
0,"peidos engraçados gato tom : quero peidar , segurando ! [ frases poemas ]"
0,"inferno sejaumapessoamelhor"
0,"retardado webcam"
0,"tortura"
0,"apelido"
0,"cadela tenta subornar porteiro"
0,"edu dracena rebate reclamação ricardo oliveira : otário"
0,"retardado camera # desafiovilhena"
0,"após assumir namoro homo afetivo , repórter sandro fernandes faz desabafo"
0,"peidos cerebrais talking tom - fazer amigos"
0,"posicionamento tudo : bosta produto premium ?"
0,"punheta"
0,"fãs babacas irritam ! pyong lee chega limite + duda castro descobre pendência biel"
0,"maiara maraisa - medo bobo # maiaraemaraisaagoraéquesaoelas"
0,"azizi mc - rap viado ( freestyle )"
0,"ser pai conto pele asno nathalia barbosa"
0,"canal otário @ canaldootario"
0,"fear the walking dead - nova vilã quer ? 00 episódio 0 temporada ftwd amc ?"
0,"flamengo quinto colocado quesito importante clubes brasileirosn000snow"
0,"unbox busto ozob - bitoca nariz , babaca !"
0,"miguel falabella claudia raia detonam políticos dizem abala brasil"
0,"compasso tético , anacrúsico acéfalo rítmico"
0,"r000.000 - casa 0 quartos ( 0 suíte ) tudo primeira ! condado maricá ref : ca0000"
0,"oceano distância - esquina"
0,"eldo boss vagabundo prodígio - roma negra ( vídeo oficial ) - aquahertz beats-"
0,"ludmilla - jogando sujo"
0,"jogamos pra ganhar ( prod . nisbeatz beatbyreso )"
0,"peso , duas medidas !"
0,"bruna marquezine - meme # 0"
0,"faustão - abre porta porra"
0,"jhoy feat lunáticos - jo louco ( videoclipe oficial )"
0,"debate band - presidenciáveis 0000"
0,"00 - negro foda ( 0000 ) - froid ( prod.lk )"
0,"investindo ajuda robôs - warren"
0,"jojo todynho defende clipe polêmico nego borel"
0,"saco otário 00 # nsdo @ canaldootario"
0,"direitos trabalhistas @ canaldootario"
0,"oriente - vagabundo ama"
0,"morreu"
0,"whindersson perde linha mete louco namorado nara faz tattoo escuta : quer promover"
0,"ainda compensa corno montar dupla sertaneja ? ( baú )"
0,"segue gps ? parafernalha"
0,"vida foda ? ! felipe marx 's original films"
0,"felipe neto chama castanhari babaca ! ? felipe neto alvo hate"
0,"xavecando garotas programa - puta pegadinha ( ft . turma sacanas )"
0,"macaco , incrível meninas superpoderosas cartoon network"
0,"pica pau português vai conseguir pegar pica pau trailer oficial filme"
0,"pau amigo"
0,"porra , hulk ! drink doce levinho drinkeria"
0,"filipe ret - louco pra voltar ( prod . dallass )"
0,"simpatia pra ganhar dinheiro apóstolo arnaldo"
0,"egua paraense"
0,"dinheiro ?"
0,"discórdia redes sociais karnal+coen inferno"
0,"bixa fina - bonde g ( anitta - medicina párodia )"
0,"manxa kuazi luks - flowtuando [ prod . manxa beats ]"
0,"s.o.s - grande ( prod . chakra x dj rzo ) noizfirma"
0,"deus"
0,"peido"
0,"foto pau"
0,"mc alysson foda ( videoclipe oficial ) prod . dj róh dm"
0,"piroca"
0,"apóstolo arnaldo fala beijo gay"
0,"agenda 0000 : globalismo nova ordem mundial onu !"
0,"teatro alternativo"
0,"saco otário 0 # nsdo @ canaldootario"
0,"filipe ret - louco pra voltar [ self clipe ]"
0,"após cair quinto andar prédio , ator belíssima segue internado uti passa nova cirur"
0,"peidos engraçados gato tom : peido educado , preciso peidar ! [ frases poemas ]"
0,"churrasco putr ! @ parafernalha"
0,"supercombo - morar - ( clipe oficial )"
0,"lula vice perfeito !"
0,"tribo periferia - pirata esquina ( official music video )"
0,"movimento acelerado movimento retardado - brasil escola"
0,"kauã mello - cento 000 - ( autoral ) # 0 # sertanejo # musica"
0,"*meme * quero mamar"
0,"bicha"
0,"rap - mr dreka vs free - museu - eliminatoria nacional - eita porra ! ! ! !"
0,"saco otário 00 # nsdo @ canaldootario"
0,"deu merda"
0,"porra"
0,"tribo periferia - imprevisível ( official music video )"
0,"finalmente , lula inelegível !"
0,"nego borel - solta porra ( ( djs rennan wendel czr ) )"
0,"la casa mamãe i paródia la casa papel i falaidearo"
0,"0000 tifli camcam - foda linda ( prod . lk )"
0,"dólar acima 0 reais !"
0,"copa # 00 - merda !"